sql,sentences_fr
"SELECT avg(rating) , languages FROM song GROUP BY languages",Quelle est la note moyenne des chansons pour chaque langue ?
"SELECT T1.gender , T1.artist_name FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name ORDER BY T2.resolution LIMIT 1",Renvoie le sexe et le nom de l'artiste qui a produit la chanson avec la résolution la plus basse.
"SELECT T1.gender , T1.artist_name FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name ORDER BY T2.resolution LIMIT 1",Quel est le sexe et le nom de l'artiste qui a chanté la chanson avec la plus petite résolution ?
"SELECT count(*) , formats FROM files GROUP BY formats","Pour chaque format de fichier, renvoyez le nombre d'artistes qui ont sorti des chansons dans ce format."
"SELECT count(*) , formats FROM files GROUP BY formats",Combien de chansons ont été publiées pour chaque format ?
"SELECT DISTINCT song_name FROM song WHERE resolution > (SELECT min(resolution) FROM song WHERE languages = ""english"")",Trouvez les noms distincts de toutes les chansons qui ont une résolution plus élevée que certaines chansons en anglais.
"SELECT DISTINCT song_name FROM song WHERE resolution > (SELECT min(resolution) FROM song WHERE languages = ""english"")",Quels sont les différents noms pour toutes les chansons qui ont une résolution plus élevée que les chansons en anglais ?
"SELECT song_name FROM song WHERE rating < (SELECT max(rating) FROM song WHERE genre_is = ""blues"")",Quels sont les noms de toutes les chansons qui ont une cote inférieure à certaines chansons du genre blues ?
"SELECT song_name FROM song WHERE rating < (SELECT max(rating) FROM song WHERE genre_is = ""blues"")",Quels sont les noms des chansons qui ont une cote inférieure à au moins une chanson de blues ?
"SELECT T1.artist_name , T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.song_name LIKE ""%love%""","Quel est le nom et le pays d'origine de l'artiste qui a sorti une chanson dont le titre contient ""amour"" ?"
"SELECT T1.artist_name , T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.song_name LIKE ""%love%""","Quels sont les noms des artistes qui ont sorti une chanson qui a le mot amour dans son titre, et d'où viennent les artistes ?"
"SELECT T1.artist_name , T1.gender FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.releasedate LIKE ""%Mar%""",Indiquez le nom et le sexe de tous les artistes qui ont sorti des chansons en mars.
"SELECT T1.artist_name , T1.gender FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.releasedate LIKE ""%Mar%""",Quels sont les noms et les sexes de tous les artistes qui ont sorti des chansons au mois de mars ?
"SELECT g_name , rating FROM genre ORDER BY g_name","Énumérez les noms de tous les genres par ordre alphabétique, ainsi que leurs notes."
"SELECT g_name , rating FROM genre ORDER BY g_name","Quels sont les noms de tous les genres par ordre alphabétique, combinés avec leurs notes ?"
SELECT song_name FROM song ORDER BY resolution,Donnez-moi une liste des noms de toutes les chansons classées par leur résolution.
SELECT song_name FROM song ORDER BY resolution,Quels sont les noms de toutes les chansons qui sont classées par leurs numéros de résolution ?
"SELECT f_id FROM files WHERE formats = ""mp4"" UNION SELECT f_id FROM song WHERE resolution > 720",Quels sont les identifiants des chansons disponibles au format mp4 ou ayant une résolution supérieure à 720 ?
"SELECT f_id FROM files WHERE formats = ""mp4"" UNION SELECT f_id FROM song WHERE resolution > 720",Quels sont les identifiants de toutes les chansons disponibles en mp4 ou ayant une résolution supérieure à 720 ?
"SELECT T2.song_name FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id WHERE T1.duration LIKE ""4:%"" UNION SELECT song_name FROM song WHERE languages = ""english""",Énumérez les noms de toutes les chansons d'une durée de 4 minutes ou en anglais.
"SELECT T2.song_name FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id WHERE T1.duration LIKE ""4:%"" UNION SELECT song_name FROM song WHERE languages = ""english""",Quels sont les noms de toutes les chansons qui durent environ 4 minutes ou qui sont en anglais ?
SELECT languages FROM song GROUP BY languages ORDER BY count(*) DESC LIMIT 1,Quelle est la langue utilisée le plus souvent dans les chansons ?
SELECT languages FROM song GROUP BY languages ORDER BY count(*) DESC LIMIT 1,Quelles sont les langues les plus utilisées dans les chansons ?
SELECT artist_name FROM song WHERE resolution > 500 GROUP BY languages ORDER BY count(*) DESC LIMIT 1,Quelle est la langue qui a été utilisée le plus souvent dans les chansons avec une résolution supérieure à 500 ?
SELECT artist_name FROM song WHERE resolution > 500 GROUP BY languages ORDER BY count(*) DESC LIMIT 1,"Quel est le nom de l'artiste, pour chaque langue, qui a le plus de chansons avec une résolution supérieure à 500 ?"
"SELECT artist_name FROM artist WHERE country = ""UK"" AND gender = ""Male""",Comment s'appellent les artistes masculins originaires du Royaume-Uni ?
"SELECT artist_name FROM artist WHERE country = ""UK"" AND gender = ""Male""",Quels sont les noms de tous les artistes masculins britanniques ?
"SELECT song_name FROM song WHERE genre_is = ""modern"" OR languages = ""english""",Trouvez les noms des chansons dont le genre est moderne ou la langue est l'anglais.
"SELECT song_name FROM song WHERE genre_is = ""modern"" OR languages = ""english""",Quels sont les noms des chansons qui sont modernes ou chantées en anglais ?
"SELECT T2.song_name FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id WHERE T1.formats = ""mp3"" INTERSECT SELECT song_name FROM song WHERE resolution < 1000",Renvoie les noms des chansons dont le format est mp3 et la résolution est inférieure à 1000.
"SELECT T2.song_name FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id WHERE T1.formats = ""mp3"" INTERSECT SELECT song_name FROM song WHERE resolution < 1000",Quels sont les noms de toutes les chansons qui sont au format mp3 et qui ont une résolution inférieure à 1000 ?
"SELECT artist_name FROM artist WHERE country = ""UK"" INTERSECT SELECT T1.artist_name FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.languages = ""english""",Renvoyez les noms des chanteurs qui viennent du Royaume-Uni et qui ont sorti une chanson en anglais.
"SELECT artist_name FROM artist WHERE country = ""UK"" INTERSECT SELECT T1.artist_name FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.languages = ""english""",Quels sont les noms de tous les chanteurs qui viennent du Royaume-Uni et qui ont sorti une chanson en anglais ?
"SELECT avg(rating) , avg(resolution) FROM song WHERE languages = ""bangla""",Quelles sont la note moyenne et la résolution des chansons en bengali ?
"SELECT avg(rating) , avg(resolution) FROM song WHERE languages = ""bangla""",Quelle est la note moyenne et la résolution de toutes les chansons bangla ?
"SELECT max(T2.resolution) , min(T2.resolution) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id WHERE T1.duration LIKE ""3:%""",Quelles sont la résolution maximale et minimale des chansons dont la durée est de 3 minutes ?
"SELECT max(T2.resolution) , min(T2.resolution) FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id WHERE T1.duration LIKE ""3:%""",Quelle est la résolution maximale et minimale de toutes les chansons d'environ 3 minutes ?
"SELECT max(T1.duration) , max(T2.resolution) , T2.languages FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T2.languages ORDER BY T2.languages",Quelles sont la durée et la résolution maximales des chansons regroupées et classées par langues ?
"SELECT max(T1.duration) , max(T2.resolution) , T2.languages FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T2.languages ORDER BY T2.languages","Quelles sont la durée et la résolution maximales de toutes les chansons, pour chaque langue, classées par ordre alphabétique de langue ?"
"SELECT min(T1.duration) , min(T2.rating) , T2.genre_is FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T2.genre_is ORDER BY T2.genre_is",Quelles sont la durée la plus courte et la note la plus basse des chansons regroupées par genre et classées par genre ?
"SELECT min(T1.duration) , min(T2.rating) , T2.genre_is FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id GROUP BY T2.genre_is ORDER BY T2.genre_is","Quelle est la chanson la plus courte et la moins bien notée pour chaque genre, classée alphabétiquement par genre ?"
"SELECT T1.artist_name , count(*) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.languages = ""english"" GROUP BY T2.artist_name HAVING count(*) >= 1",Trouvez les noms et le nombre d'œuvres de tous les artistes qui ont au moins une chanson en anglais.
"SELECT T1.artist_name , count(*) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.languages = ""english"" GROUP BY T2.artist_name HAVING count(*) >= 1",Quels sont les noms et le nombre d'œuvres pour tous les artistes qui ont chanté au moins une chanson en anglais ?
"SELECT T1.artist_name , T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.resolution > 900 GROUP BY T2.artist_name HAVING count(*) >= 1",Trouvez le nom et le pays d'origine de tous les artistes qui ont sorti au moins une chanson de résolution supérieure à 900.
"SELECT T1.artist_name , T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.resolution > 900 GROUP BY T2.artist_name HAVING count(*) >= 1",Quel est le nom et le pays d'origine de chaque artiste qui a sorti une chanson avec une résolution supérieure à 900 ?
"SELECT T1.artist_name , count(*) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name GROUP BY T2.artist_name ORDER BY count(*) DESC LIMIT 3",Trouvez les noms et le nombre d'œuvres des trois artistes qui ont produit le plus de chansons.
"SELECT T1.artist_name , count(*) FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name GROUP BY T2.artist_name ORDER BY count(*) DESC LIMIT 3",Quels sont les noms des trois artistes qui ont produit le plus de chansons et combien d'œuvres ont-ils produites ?
SELECT T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name GROUP BY T2.artist_name ORDER BY count(*) LIMIT 1,Trouver le pays d'origine de l'artiste qui a composé le moins de chansons ?
SELECT T1.country FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name GROUP BY T2.artist_name ORDER BY count(*) LIMIT 1,De quel pays est l'artiste qui a composé le moins de chansons ?
SELECT song_name FROM song WHERE rating < (SELECT min(rating) FROM song WHERE languages = 'english'),Quels sont les noms des chansons dont la note est inférieure à la note de toutes les chansons en anglais ?
SELECT song_name FROM song WHERE rating < (SELECT min(rating) FROM song WHERE languages = 'english'),Quels sont les noms de chaque chanson dont la note est inférieure à la note minimale pour les chansons en anglais ?
SELECT f_id FROM song WHERE resolution > (SELECT max(resolution) FROM song WHERE rating < 8),Quel est l'identifiant des chansons dont la résolution est supérieure à la résolution des chansons dont la note est inférieure à 8 ?
SELECT f_id FROM song WHERE resolution > (SELECT max(resolution) FROM song WHERE rating < 8),Quel est l'identifiant de chaque chanson qui a une résolution supérieure à celle d'une chanson avec une note inférieure à 8 ?
"SELECT f_id FROM song WHERE resolution > (SELECT avg(resolution) FROM song WHERE genre_is = ""modern"")",Quel est l'identifiant des chansons dont la résolution est supérieure à la résolution moyenne des chansons du genre moderne ?
"SELECT f_id FROM song WHERE resolution > (SELECT avg(resolution) FROM song WHERE genre_is = ""modern"")",Quels sont les identifiants de toutes les chansons qui ont une résolution supérieure à la résolution moyenne dans le genre moderne ?
"SELECT T1.artist_name FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.languages = ""bangla"" GROUP BY T2.artist_name ORDER BY count(*) DESC LIMIT 3",Trouvez les 3 meilleurs artistes qui ont le plus grand nombre d'œuvres de chansons dont la langue est le bengali.
"SELECT T1.artist_name FROM artist AS T1 JOIN song AS T2 ON T1.artist_name = T2.artist_name WHERE T2.languages = ""bangla"" GROUP BY T2.artist_name ORDER BY count(*) DESC LIMIT 3",Quels sont les 3 meilleurs artistes avec le plus grand nombre de chansons en bengali ?
"SELECT f_id , genre_is , artist_name FROM song WHERE languages = ""english"" ORDER BY rating","Répertoriez l'identifiant, le genre et le nom de l'artiste des chansons anglaises classées par note."
"SELECT f_id , genre_is , artist_name FROM song WHERE languages = ""english"" ORDER BY rating","Quels sont l'identifiant, le genre et le nom de l'artiste pour chaque chanson anglaise classée par classement croissant ?"
"SELECT T1.duration , T1.file_size , T1.formats FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id WHERE T2.genre_is = ""pop"" ORDER BY T2.song_name","Lister la durée, la taille du fichier et le format des chansons dont le genre est pop, classés par titre ?"
"SELECT T1.duration , T1.file_size , T1.formats FROM files AS T1 JOIN song AS T2 ON T1.f_id = T2.f_id WHERE T2.genre_is = ""pop"" ORDER BY T2.song_name","Quelle est la durée, la taille du fichier et le format de chaque chanson pop, classés par titre par ordre alphabétique ?"
"SELECT DISTINCT artist_name FROM song WHERE languages = ""english"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating > 8",Trouvez les noms des artistes qui ont produit des chansons en anglais mais qui n'ont jamais reçu de note supérieure à 8.
"SELECT DISTINCT artist_name FROM song WHERE languages = ""english"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating > 8",Quels sont les noms des différents artistes qui ont produit une chanson en anglais mais qui n'ont jamais reçu une note supérieure à 8 ?
"SELECT DISTINCT artist_name FROM artist WHERE country = ""Bangladesh"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating > 7",Trouvez les noms des artistes originaires du Bangladesh et qui n'ont jamais reçu de note supérieure à 7.
"SELECT DISTINCT artist_name FROM artist WHERE country = ""Bangladesh"" EXCEPT SELECT DISTINCT artist_name FROM song WHERE rating > 7",Quels sont les noms des différents artistes du Bangladesh qui n'ont jamais reçu une note supérieure à 7 ?
"SELECT T1.name_full , T1.college_id FROM college AS T1 JOIN player_college AS T2 ON T1.college_id = T2.college_id GROUP BY T1.college_id ORDER BY count(*) DESC LIMIT 1;",quel est le nom complet et l'identifiant de l'université avec le plus grand nombre de joueurs de baseball ?
"SELECT T1.name_full , T1.college_id FROM college AS T1 JOIN player_college AS T2 ON T1.college_id = T2.college_id GROUP BY T1.college_id ORDER BY count(*) DESC LIMIT 1;",Trouvez le nom complet et l'identifiant du collège qui compte le plus de joueurs de baseball.
SELECT avg(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings',Quel est le salaire moyen des joueurs de l'équipe 'Boston Red Stockings' ?
SELECT avg(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings',Calculez le salaire moyen des joueurs de l'équipe appelée 'Boston Red Stockings'.
"SELECT name_first , name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id = T2.player_id WHERE YEAR = 1998",Quels sont les noms et prénoms des joueurs ayant participé au All Star Game en 1998 ?
"SELECT name_first , name_last FROM player AS T1 JOIN all_star AS T2 ON T1.player_id = T2.player_id WHERE YEAR = 1998",Indiquez le prénom et le nom des joueurs qui ont participé au All Star Game en 1998.
"SELECT T1.name_first , T1.name_last , T1.player_id , count(*) FROM player AS T1 JOIN all_star AS T2 ON T1.player_id = T2.player_id GROUP BY T1.player_id ORDER BY count(*) DESC LIMIT 1;","Quels sont le prénom, le nom et l'identifiant du joueur avec le plus d'expériences All Star Game ? Indiquez également le décompte."
"SELECT T1.name_first , T1.name_last , T1.player_id , count(*) FROM player AS T1 JOIN all_star AS T2 ON T1.player_id = T2.player_id GROUP BY T1.player_id ORDER BY count(*) DESC LIMIT 1;","Quel joueur a le plus d'expériences All Star Game ? Donnez-moi le prénom, le nom et l'identifiant du joueur, ainsi que le nombre de fois où le joueur a participé au All Star Game."
"SELECT yearid , count(*) FROM hall_of_fame GROUP BY yearid;",Combien de joueurs entrent au Hall of Fame chaque année ?
"SELECT yearid , count(*) FROM hall_of_fame GROUP BY yearid;",Comptez le nombre de joueurs qui entrent au Hall of Fame chaque année.
"SELECT YEAR , avg(attendance) FROM home_game GROUP BY YEAR;",Quel est le nombre moyen de spectateurs aux matchs à domicile chaque année ?
"SELECT YEAR , avg(attendance) FROM home_game GROUP BY YEAR;","Pour chaque année, indiquez l'année et le nombre moyen de présences aux matchs à domicile."
"SELECT T2.team_id , T2.rank FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id WHERE T1.year = 2014 GROUP BY T1.team_id ORDER BY avg(T1.attendance) DESC LIMIT 1;","En 2014, quels sont l'identifiant et le rang de l'équipe qui a le plus grand nombre moyen d'assiduité ?"
"SELECT T2.team_id , T2.rank FROM home_game AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id WHERE T1.year = 2014 GROUP BY T1.team_id ORDER BY avg(T1.attendance) DESC LIMIT 1;",Trouvez l'identifiant et le rang de l'équipe qui a le taux de participation moyen le plus élevé en 2014.
"SELECT T1.name_first , T1.name_last , T2.player_id FROM player AS T1 JOIN manager_award AS T2 ON T1.player_id = T2.player_id GROUP BY T2.player_id ORDER BY count(*) DESC LIMIT 1;","Quels sont le prénom, le nom et l'identifiant du manager qui a remporté le plus de prix de manager ?"
"SELECT T1.name_first , T1.name_last , T2.player_id FROM player AS T1 JOIN manager_award AS T2 ON T1.player_id = T2.player_id GROUP BY T2.player_id ORDER BY count(*) DESC LIMIT 1;","Quel manager a remporté le plus de prix de manager ? Donnez-moi le prénom, le nom et l'identifiant du responsable."
SELECT count(*) FROM park WHERE state = 'NY';,Combien y a-t-il de parcs dans l'état de NY ?
SELECT count(*) FROM park WHERE state = 'NY';,Montrez-moi le nombre de parcs dont dispose l'État de New York.
"SELECT T1.name_first , T1.name_last , T1.player_id FROM player AS T1 JOIN player_award AS T2 ON T1.player_id = T2.player_id GROUP BY T1.player_id ORDER BY count(*) DESC LIMIT 3;",Quels sont les 3 joueurs qui ont remporté le plus de prix de joueur ? Indiquez leur nom complet et leur identifiant.
"SELECT T1.name_first , T1.name_last , T1.player_id FROM player AS T1 JOIN player_award AS T2 ON T1.player_id = T2.player_id GROUP BY T1.player_id ORDER BY count(*) DESC LIMIT 3;","Trouvez le prénom, le nom et l'identifiant des trois meilleurs joueurs qui ont remporté le plus de récompenses."
SELECT birth_country FROM player GROUP BY birth_country ORDER BY count(*) ASC LIMIT 3;,Citez trois pays qui sont les origines du moins de joueurs.
SELECT birth_country FROM player GROUP BY birth_country ORDER BY count(*) ASC LIMIT 3;,Quels sont les trois pays d'où viennent le moins de joueurs ?
"SELECT name_first , name_last FROM player WHERE death_year = '';",Trouvez le prénom et le nom de tous les joueurs dont l'enregistrement de décès est vide.
"SELECT name_first , name_last FROM player WHERE death_year = '';",Quels sont le prénom et le nom des joueurs dont la fiche de décès est vide ?
SELECT count(*) FROM player WHERE birth_country = 'USA' AND bats = 'R';,"Combien de joueurs nés aux États-Unis sont des frappeurs droitiers ? C'est-à-dire, avoir la valeur de pâte 'R'."
SELECT count(*) FROM player WHERE birth_country = 'USA' AND bats = 'R';,Comptez le nombre de joueurs qui sont nés aux États-Unis et qui ont des informations sur les chauves-souris 'R'.
SELECT avg(T1.height) FROM player AS T1 JOIN player_college AS T2 ON T1.player_id = T2.player_id JOIN college AS T3 ON T3.college_id = T2.college_id WHERE T3.name_full = 'Yale University';,Quelle est la taille moyenne des joueurs du collège nommé 'Yale University' ?
SELECT avg(T1.height) FROM player AS T1 JOIN player_college AS T2 ON T1.player_id = T2.player_id JOIN college AS T3 ON T3.college_id = T2.college_id WHERE T3.name_full = 'Yale University';,Trouvez la taille moyenne des joueurs qui appartiennent au collège appelé 'Yale University'.
"SELECT T1.name , T1.team_id , max(T2.salary) FROM team AS T1 JOIN salary AS T2 ON T1.team_id = T2.team_id GROUP BY T1.team_id;","Quel est le salaire le plus élevé de chaque équipe ? Indiquez le nom de l'équipe, l'identifiant et le salaire maximum."
"SELECT T1.name , T1.team_id , max(T2.salary) FROM team AS T1 JOIN salary AS T2 ON T1.team_id = T2.team_id GROUP BY T1.team_id;","Pour chaque équipe, renvoyez le nom de l'équipe, l'identifiant et le salaire maximum parmi l'équipe."
"SELECT T1.name , T1.team_id FROM team AS T1 JOIN salary AS T2 ON T1.team_id = T2.team_id GROUP BY T1.team_id ORDER BY avg(T2.salary) ASC LIMIT 1;",Quels sont le nom et l'identifiant de l'équipe offrant le salaire moyen le plus bas ?
"SELECT T1.name , T1.team_id FROM team AS T1 JOIN salary AS T2 ON T1.team_id = T2.team_id GROUP BY T1.team_id ORDER BY avg(T2.salary) ASC LIMIT 1;",Quelle équipe offre le salaire moyen le plus bas ? Donnez-moi le nom et l'identifiant de l'équipe.
"SELECT T1.name_first , T1.name_last FROM player AS T1 JOIN player_award AS T2 WHERE T2.year = 1960 INTERSECT SELECT T1.name_first , T1.name_last FROM player AS T1 JOIN player_award AS T2 WHERE T2.year = 1961",Trouvez le prénom et le nom des joueurs qui ont remporté le prix en 1960 et en 1961.
"SELECT T1.name_first , T1.name_last FROM player AS T1 JOIN player_award AS T2 WHERE T2.year = 1960 INTERSECT SELECT T1.name_first , T1.name_last FROM player AS T1 JOIN player_award AS T2 WHERE T2.year = 1961",Quels joueurs ont remporté des prix en 1960 et 1961 ? Renvoyez leurs prénoms et noms de famille.
"SELECT name_first , name_last FROM player WHERE weight > 220 OR height < 75",Indiquez le prénom et le nom des joueurs qui ont un poids supérieur à 220 ou une taille inférieure à 75.
"SELECT name_first , name_last FROM player WHERE weight > 220 OR height < 75",Quels sont le prénom et le nom des joueurs qui ont un poids supérieur à 220 ou une taille inférieure à 75 ?
SELECT max(T1.wins) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings';,Énumérez les scores maximum de l'équipe Boston Red Stockings lorsque l'équipe a gagné en séries éliminatoires ?
SELECT max(T1.wins) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings';,Quels sont les scores maximum que l'équipe des Boston Red Stockings a obtenus lorsque l'équipe a gagné en séries éliminatoires ?
SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year = 2009;,Combien de fois les Boston Red Stockings ont-ils perdu en séries éliminatoires en 2009 ?
SELECT count(*) FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year = 2009;,"Comptez le nombre de fois que l'équipe ""Boston Red Stockings"" a perdu en séries éliminatoires 2009."
"SELECT T2.name , T1.team_id_winner FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T1.year = 2008 GROUP BY T1.team_id_winner ORDER BY count(*) DESC LIMIT 1;",Quels sont le nom et l'identifiant de l'équipe avec le plus de victoires en séries éliminatoires 2008 ?
"SELECT T2.name , T1.team_id_winner FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T1.year = 2008 GROUP BY T1.team_id_winner ORDER BY count(*) DESC LIMIT 1;",Trouvez le nom et l'identifiant de l'équipe qui a gagné le plus de fois en séries éliminatoires 2008.
"SELECT count(*) , T1.year FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' GROUP BY T1.year",Quel est le nombre de victoires de l'équipe Boston Red Stockings en séries éliminatoires chaque année dans l'histoire ?
"SELECT count(*) , T1.year FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' GROUP BY T1.year","Pour chaque année, indiquez l'année et le nombre de victoires de l'équipe Boston Red Stockings en séries éliminatoires."
SELECT count(*) FROM ( SELECT * FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' UNION SELECT * FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' );,Quel est le nombre total de matchs d'après-saison auxquels l'équipe des Boston Red Stockings a participé ?
SELECT count(*) FROM ( SELECT * FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_winner = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' UNION SELECT * FROM postseason AS T1 JOIN team AS T2 ON T1.team_id_loser = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' );,Combien de fois au total l'équipe des Boston Red Stockings a-t-elle participé aux matchs d'après-saison ?
SELECT count(*) FROM postseason WHERE YEAR = 1885 AND ties = 1;,"Combien de matchs en séries éliminatoires de 1885 ont abouti à des égalités (c'est-à-dire que la valeur des ""égalités"" est de '1') ?"
SELECT count(*) FROM postseason WHERE YEAR = 1885 AND ties = 1;,"Trouvez le nombre de matchs à égalité (la valeur des ""égalités"" est '1') en séries éliminatoires de 1885."
SELECT sum(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year = 2010,Quel est le salaire total payé par l'équipe Boston Red Stockings en 2010 ?
SELECT sum(T1.salary) FROM salary AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year = 2010,Quel est le total des dépenses salariales de l'équipe des Boston Red Stockings en 2010 ?
SELECT count(*) FROM salary AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year = 2000,Combien y avait-il de joueurs dans l'équipe des Boston Red Stockings en 2000 ?
SELECT count(*) FROM salary AS T1 JOIN team AS T2 ON T1.team_id = T2.team_id_br WHERE T2.name = 'Boston Red Stockings' AND T1.year = 2000,Combien de joueurs les Boston Red Stockings avaient-ils en 2000 ?
SELECT salary FROM salary WHERE YEAR = 2001 ORDER BY salary DESC LIMIT 3;,Lister les 3 plus hauts salaires des joueurs en 2001 ?
SELECT salary FROM salary WHERE YEAR = 2001 ORDER BY salary DESC LIMIT 3;,Quel salaire les 3 meilleurs joueurs les mieux payés ont-ils reçu en 2001 ?
SELECT salary FROM salary WHERE YEAR = 2010 UNION SELECT salary FROM salary WHERE YEAR = 2001,Quelles étaient toutes les valeurs salariales des joueurs en 2010 et 2001 ?
SELECT salary FROM salary WHERE YEAR = 2010 UNION SELECT salary FROM salary WHERE YEAR = 2001,Énumérez toutes les valeurs salariales que les joueurs ont reçues en 2010 et 2001.
SELECT yearid FROM hall_of_fame GROUP BY yearid ORDER BY count(*) ASC LIMIT 1;,En quelle année le moins de personnes sont-elles entrées au Temple de la renommée ?
SELECT yearid FROM hall_of_fame GROUP BY yearid ORDER BY count(*) ASC LIMIT 1;,Trouvez l'année au cours de laquelle le moins de personnes entrent au Temple de la renommée.
SELECT count(*) FROM park WHERE city = 'Atlanta';,Combien y a-t-il de parcs dans la ville d'Atlanta ?
SELECT count(*) FROM park WHERE city = 'Atlanta';,Combien de parcs compte la ville d'Atlanta ?
SELECT count(*) FROM home_game AS T1 JOIN park AS T2 ON T1.park_id = T2.park_id WHERE T1.year = 1907 AND T2.park_name = 'Columbia Park';,"Combien de jeux ont été joués dans le parc ""Columbia Park"" en 1907 ?"
SELECT count(*) FROM home_game AS T1 JOIN park AS T2 ON T1.park_id = T2.park_id WHERE T1.year = 1907 AND T2.park_name = 'Columbia Park';,"Comptez le nombre de jeux qui ont eu lieu dans le parc ""Columbia Park"" en 1907."
SELECT count(*) FROM home_game AS T1 JOIN park AS T2 ON T1.park_id = T2.park_id WHERE T1.year = 2000 AND T2.city = 'Atlanta';,Combien de matchs ont été joués dans la ville d'Atlanta en 2000 ?
SELECT count(*) FROM home_game AS T1 JOIN park AS T2 ON T1.park_id = T2.park_id WHERE T1.year = 2000 AND T2.city = 'Atlanta';,Trouver le nombre de matchs ayant eu lieu dans la ville d'Atlanta en 2000.
